Numero_Linha_Original,Problema,Conteudo_Linha
22586,"Esperava 91 colunas, encontrou 92","['OI', '10113512/24', 'Pendente       ', '', 'VES-1', 'MINISTERIO DA SAUDE                                    ', 'MS                  ', '00394544027113', '000001157230193', 'Solicitação', 'Migração', 'Qualidade', 'ADRIANO LUIS PERON', 'Solicitação', 'PVT STAR 21 (CS)', 'GOV TOP1', '7968', '14/08/2024 18:25:47', '19/09/2024 15:35:24', '19/09/2024 15:40:41', '19/09/2024 15:34:59', '', '', '', '', 'INN + GRD - INTERNET + GERÊNCIA DE REDE', 'MMILER', '', '', '', '', '0', '380789', 'lenine', '543025', 'Z053811', '', 'Cir: 1727542, 1727543', '0', '10113512/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', 'JUROCHA', 'Encaminhamento ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'BSA', 'DF', 'BRASILIA', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/22639 ', ' SDR/IP/22640', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22587,"Esperava 91 colunas, encontrou 92","['OI', '10113512/24', 'Pendente       ', '', 'VES-1', 'MINISTERIO DA SAUDE                                    ', 'MS                  ', '00394544027113', '000001157230193', 'Solicitação', 'Migração', 'Qualidade', 'ITP SISTEMA', 'Solicitação', 'Operação Local BA', 'GOV TOP1', '7968', '14/08/2024 18:25:47', '19/09/2024 15:35:24', '19/09/2024 15:35:24', '19/09/2024 15:34:59', '', '', '', '', 'INN + GRD - INTERNET + GERÊNCIA DE REDE', 'MMILER', '', '', '', '', '0', '380789', 'lenine', '543025', 'Z053811', '', 'Atribuição automática para MMI', '0', '10113512/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', 'JUROCHA', 'Atribuição     ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'BSA', 'DF', 'BRASILIA', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/22639 ', ' SDR/IP/22640', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22588,"Esperava 91 colunas, encontrou 92","['OI', '10113512/24', 'Pendente       ', '', 'VES-1', 'MINISTERIO DA SAUDE                                    ', 'MS                  ', '00394544027113', '000001157230193', 'Solicitação', 'Migração', 'Qualidade', 'MILER MARTINS DE ALMEIDA', 'Solicitação', 'Operação Local BA', 'GOV TOP1', '7968', '14/08/2024 18:25:47', '', '19/09/2024 15:35:24', '19/09/2024 15:34:59', '', '', '', '', 'INN + GRD - INTERNET + GERÊNCIA DE REDE', 'MMILER', '', '', '', '', '0', '380789', 'lenine', '543025', 'Z053811', '', 'Atribuição automática para MMI', '0', '10113512/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', 'JUROCHA', '', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'BSA', 'DF', 'BRASILIA', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/22639 ', ' SDR/IP/22640', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22603,"Esperava 91 colunas, encontrou 92","['OI', '10113517/24', 'Pendente       ', '', 'VEM-37', 'IRMAOS BOMFIM DA SILVA LTDA                            ', 'IRBF                ', '13396700000199', '000010611730002', 'Solicitação', 'Migração', 'Qualidade', 'MILER MARTINS DE ALMEIDA', 'Solicitação', 'Operação Local BA', '', '7968', '14/08/2024 18:34:34', '14/08/2024 18:34:34', '14/08/2024 18:34:34', '14/08/2024 18:34:34', '', '', '', '', 'VPE - VIP UNICO', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'AÇÃO: MIGRAÇÃO DE ACESSO ADE P', '0', '10113517/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', 'Encaminhamento ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'SDR', 'BA', 'SALVADOR', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/19567 ', ' 7134156450', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22604,"Esperava 91 colunas, encontrou 92","['OI', '10113517/24', 'Pendente       ', '', 'VEM-37', 'IRMAOS BOMFIM DA SILVA LTDA                            ', 'IRBF                ', '13396700000199', '000010611730002', 'Solicitação', 'Migração', 'Qualidade', 'LILIANA RAVAGNOLLI DA COSTA', 'Solicitação', 'Migração Centralizada', '', '7968', '14/08/2024 18:34:34', '16/08/2024 08:34:05', '14/08/2024 18:34:34', '16/08/2024 07:51:50', '', '', '', '', 'VPE - VIP UNICO', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'Projeto: MIGRAÇÃO OI: 10113517', '0', '10113517/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', 'Encaminhamento ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'SDR', 'BA', 'SALVADOR', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/19567 ', ' 7134156450', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22605,"Esperava 91 colunas, encontrou 92","['OI', '10113517/24', 'Pendente       ', '', 'VEM-37', 'IRMAOS BOMFIM DA SILVA LTDA                            ', 'IRBF                ', '13396700000199', '000010611730002', 'Solicitação', 'Migração', 'Qualidade', 'FELIPE DE OLIVEIRA PAGNAN', 'Solicitação', 'PVT STAR 21 (CS)', '', '7968', '14/08/2024 18:34:34', '19/08/2024 14:17:52', '16/08/2024 08:34:05', '19/08/2024 07:01:28', '', '', '', '', 'VPE - VIP UNICO', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'Cir: 1311717, 1311723, 1312003', '0', '10113517/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', 'Encaminhamento ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'SDR', 'BA', 'SALVADOR', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/19567 ', ' 7134156450', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22606,"Esperava 91 colunas, encontrou 92","['OI', '10113517/24', 'Pendente       ', '', 'VEM-37', 'IRMAOS BOMFIM DA SILVA LTDA                            ', 'IRBF                ', '13396700000199', '000010611730002', 'Solicitação', 'Migração', 'Qualidade', 'ITP SISTEMA', 'Solicitação', 'Operação Local BA', '', '7968', '14/08/2024 18:34:34', '19/08/2024 14:17:52', '19/08/2024 14:17:52', '19/08/2024 07:01:28', '', '', '', '', 'VPE - VIP UNICO', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'Atribuição automática para MMI', '0', '10113517/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', 'Atribuição     ', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'SDR', 'BA', 'SALVADOR', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/19567 ', ' 7134156450', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
22607,"Esperava 91 colunas, encontrou 92","['OI', '10113517/24', 'Pendente       ', '', 'VEM-37', 'IRMAOS BOMFIM DA SILVA LTDA                            ', 'IRBF                ', '13396700000199', '000010611730002', 'Solicitação', 'Migração', 'Qualidade', 'MILER MARTINS DE ALMEIDA', 'Solicitação', 'Operação Local BA', '', '7968', '14/08/2024 18:34:34', '', '19/08/2024 14:17:52', '19/08/2024 07:01:28', '', '', '', '', 'VPE - VIP UNICO', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'Atribuição automática para MMI', '0', '10113517/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', '', '', '960', '40', '7968', '332', '0', '0,00', '', '', 'TAD', 'SDR', 'BA', 'SALVADOR', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SDR/IP/19567 ', ' 7134156450', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
23646,"Esperava 91 colunas, encontrou 92","['OI', '10114447/24', 'Pendente       ', '', 'VEM-37', 'FLAMAGEL INDUSTRIA E COMERCIO LTDA ME                  ', 'FLAMAGEL            ', '05783974000102', '000185413730001', 'Solicitação', 'Migração', 'Qualidade', 'MILER MARTINS DE ALMEIDA', 'Solicitação', 'Operação Local BA', '', '7944', '15/08/2024 18:58:21', '15/08/2024 18:58:21', '15/08/2024 18:58:21', '15/08/2024 18:58:21', '', '', '', '', 'VLN - VIP LINE VIA EMBRATEL', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'AÇÃO: MIGRAÇÃO DE ACESSO ADE P', '0', '10114447/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', 'Encaminhamento ', '', '960', '40', '7944', '331', '0', '0,00', '', '', 'TAD', 'SMF', 'BA', 'SIMOES FILHO', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SMF/IP/00559 ', ' 7135031616', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
23647,"Esperava 91 colunas, encontrou 92","['OI', '10114447/24', 'Pendente       ', '', 'VEM-37', 'FLAMAGEL INDUSTRIA E COMERCIO LTDA ME                  ', 'FLAMAGEL            ', '05783974000102', '000185413730001', 'Solicitação', 'Migração', 'Qualidade', 'IARA APARECIDA DE OLIVEIRA PAGANOTTI', 'Solicitação', 'Migração Centralizada', '', '7944', '15/08/2024 18:58:21', '19/08/2024 09:32:02', '15/08/2024 18:58:21', '19/08/2024 08:57:50', '', '', '', '', 'VLN - VIP LINE VIA EMBRATEL', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'Projeto: MIGRAÇÃO OI: 10114447', '0', '10114447/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', 'Encaminhamento ', '', '960', '40', '7944', '331', '0', '0,00', '', '', 'TAD', 'SMF', 'BA', 'SIMOES FILHO', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SMF/IP/00559 ', ' 7135031616', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
23648,"Esperava 91 colunas, encontrou 92","['OI', '10114447/24', 'Pendente       ', '', 'VEM-37', 'FLAMAGEL INDUSTRIA E COMERCIO LTDA ME                  ', 'FLAMAGEL            ', '05783974000102', '000185413730001', 'Solicitação', 'Migração', 'Qualidade', 'ADRIANO LUIS PERON', 'Solicitação', 'PVT STAR 21 (CS)', '', '7944', '15/08/2024 18:58:21', '20/08/2024 14:14:18', '19/08/2024 09:32:02', '20/08/2024 10:44:13', '', '', '', '', 'VLN - VIP LINE VIA EMBRATEL', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'Solicitação atribuída para o G', '0', '10114447/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', 'Atribuição     ', '', '960', '40', '7944', '331', '0', '0,00', '', '', 'TAD', 'SMF', 'BA', 'SIMOES FILHO', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SMF/IP/00559 ', ' 7135031616', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
23649,"Esperava 91 colunas, encontrou 92","['OI', '10114447/24', 'Pendente       ', '', 'VEM-37', 'FLAMAGEL INDUSTRIA E COMERCIO LTDA ME                  ', 'FLAMAGEL            ', '05783974000102', '000185413730001', 'Solicitação', 'Migração', 'Qualidade', 'ADRIANO LUIS PERON', 'Solicitação', 'PVT STAR 21 (CS)', '', '7944', '15/08/2024 18:58:21', '20/08/2024 14:09:51', '20/08/2024 14:14:18', '20/08/2024 14:09:26', '', '', '', '', 'VLN - VIP LINE VIA EMBRATEL', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'Cir: 1676725, 1676728, 1677218', '0', '10114447/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', 'Encaminhamento ', '', '960', '40', '7944', '331', '0', '0,00', '', '', 'TAD', 'SMF', 'BA', 'SIMOES FILHO', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SMF/IP/00559 ', ' 7135031616', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
23650,"Esperava 91 colunas, encontrou 92","['OI', '10114447/24', 'Pendente       ', '', 'VEM-37', 'FLAMAGEL INDUSTRIA E COMERCIO LTDA ME                  ', 'FLAMAGEL            ', '05783974000102', '000185413730001', 'Solicitação', 'Migração', 'Qualidade', 'ITP SISTEMA', 'Solicitação', 'Operação Local BA', '', '7944', '15/08/2024 18:58:21', '20/08/2024 14:09:51', '20/08/2024 14:09:51', '20/08/2024 14:09:26', '', '', '', '', 'VLN - VIP LINE VIA EMBRATEL', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'Atribuição automática para MMI', '0', '10114447/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', 'Atribuição     ', '', '960', '40', '7944', '331', '0', '0,00', '', '', 'TAD', 'SMF', 'BA', 'SIMOES FILHO', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SMF/IP/00559 ', ' 7135031616', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
23651,"Esperava 91 colunas, encontrou 92","['OI', '10114447/24', 'Pendente       ', '', 'VEM-37', 'FLAMAGEL INDUSTRIA E COMERCIO LTDA ME                  ', 'FLAMAGEL            ', '05783974000102', '000185413730001', 'Solicitação', 'Migração', 'Qualidade', 'MILER MARTINS DE ALMEIDA', 'Solicitação', 'Operação Local BA', '', '7944', '15/08/2024 18:58:21', '', '20/08/2024 14:09:51', '20/08/2024 14:09:26', '', '', '', '', 'VLN - VIP LINE VIA EMBRATEL', 'MMILER', '', '', '', '', '0', '', '', '', '', '', 'Atribuição automática para MMI', '0', '10114447/24', '8', '0', '0', 'Miler Martins de Almeida 71 21066333 miler.almeida@claro.com.br', '', '', '', 'CNPJ', '', '', '', '960', '40', '7944', '331', '0', '0,00', '', '', 'TAD', 'SMF', 'BA', 'SIMOES FILHO', '', 'MMILER', 'Operação Local BA', 'AÇÃO: MIGRAÇÃO DE', 'SMF/IP/00559 ', ' 7135031616', '', '0,00', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
